time,place,magnitude,longitude,latitude,depth_km
2020-12-08 16:35:41.871,"209 km S of Sagres, Portugal",4.5,-9.2935,35.143,10.0
2020-10-01 00:21:38.037,"3 km NNE of Huarte-Uharte, Spain",4.4,-1.5713,42.8547,10.0
2020-09-30 22:02:31.047,"3 km ESE of Huarte-Uharte, Spain",4.6,-1.5515,42.8163,10.0
2020-09-06 11:56:23.041,"3 km SE of Tétouan, Morocco",4.3,-5.3362,35.5541,10.0
2020-08-13 08:04:48.379,"4 km SSE of Chiffa, Algeria",4.4,2.7574,36.4252,10.0
2020-08-08 23:00:31.183,"41 km WNW of Hadjout, Algeria",4.5,1.9857,36.6666,10.0
2020-07-25 12:13:00.471,"20 km NNE of Al Hoceïma, Morocco",4.8,-3.8678,35.4251,10.0
2019-11-11 10:52:46.534,"5 km WNW of Rochemaure, France",4.8,4.6382,44.6117,10.0
2019-10-25 09:35:47.830,"2 km ENE of Olvera, Spain",4.4,-5.2375,36.946,10.0
2019-10-18 15:54:11.302,"8 km W of El Amria, Algeria",4.5,-1.1122,35.5205,10.0
2019-08-23 11:40:54.429,"18 km SW of Lakhdaria, Algeria",4.3,3.4372,36.4549,10.0
2019-06-10 13:26:19.098,"39 km S of Bordj Ghdir, Algeria",4.1,4.9428,35.5435,36.97
2018-08-13 14:40:03.940,"7 km N of Abanilla, Spain",4.0,-1.0434,38.2705,10.0
2018-04-26 11:13:20.590,"9 km SW of Cortes de la Frontera, Spain",4.0,-5.4109,36.5557,10.0
2018-04-23 15:48:52.860,"10 km NNW of Mostaganem, Algeria",4.7,0.0472,36.0172,8.04
2018-01-15 11:51:38.450,"25 km NNW of Évora, Portugal",4.1,-7.9574,38.792,10.93
2018-01-08 16:20:11.560,"6 km ESE of Hadjout, Algeria",4.5,2.4881,36.4956,10.0
2018-01-02 20:59:37.860,"11 km SW of El Affroun, Algeria",4.7,2.5471,36.3828,8.26
2017-10-16 02:09:33.860,"9 km N of Oued Fodda, Algeria",4.0,1.524,36.273,10.0
2017-08-17 06:44:56.190,"5 km N of Arruda dos Vinhos, Portugal",4.2,-9.083,39.0327,10.0
2017-07-11 03:18:19.340,"62 km NNW of Beni Saf, Algeria",4.8,-1.6856,35.8088,10.0
2017-07-08 10:42:50.160,"70 km NW of El Amria, Algeria",4.3,-1.6313,35.9107,10.0
2017-03-10 06:43:34.610,Pyrenees,4.1,-1.7443,42.9535,2.65
2017-01-29 08:55:26.080,"9 km NNE of Mansourah, Algeria",4.6,4.4969,36.1694,10.0
2016-11-05 20:43:24.450,"16 km WSW of Melouza, Algeria",4.2,4.0112,35.9323,10.0
2016-08-01 03:48:49.390,"103 km S of Faro, Portugal",4.1,-7.8299,36.09,10.0
2016-07-06 20:52:30.630,"19 km SW of Lakhdaria, Algeria",4.3,3.4701,36.4219,10.0
